28002,0.0,0.0,35.0,30.0,17.0,6355.0,23609.0,2422.0,1304.0,4895.0,3037.0,1026.0,1247.0,1
28903,0.0,0.0,41.0,24.0,60.0,13151.0,20100.0,3344.0,1618.0,2733.0,4886.0,1502.0,3377.0,1
30099,0.0,0.0,50.0,17.0,16.0,1848.0,2873.0,1828.0,2122.0,7740.0,6022.0,1649.0,1229.0,1
31000,0.0,0.0,48.0,30.0,52.0,5072.0,10009.0,2752.0,9803.0,3672.0,5039.0,3181.0,1918.0,1
31901,0.0,0.0,43.0,35.0,-14.0,274696.0,120237.0,17297.0,5573.0,15095.0,8315.0,1391.0,4735.0,1
33098,0.0,0.0,41.0,50.0,56.0,8605.0,10251.0,9825.0,2922.0,4521.0,3098.0,1482.0,1401.0,1
33999,0.0,0.0,29.0,63.0,77.0,17445.0,4605.0,2188.0,8091.0,3492.0,3196.0,1778.0,1075.0,1
34901,0.0,0.0,26.0,70.0,60.0,10095.0,9734.0,17352.0,5263.0,4053.0,4468.0,1895.0,1820.0,1
36103,0.0,0.0,27.0,90.0,67.0,482.0,10658.0,14986.0,4878.0,7418.0,2154.0,2252.0,1994.0,1
37000,0.0,0.0,24.0,91.0,22.0,4313.0,8426.0,3309.0,8010.0,3772.0,1792.0,1842.0,986.0,1
37902,0.0,0.0,26.0,87.0,51.0,13429.0,7395.0,7511.0,10032.0,18763.0,6320.0,1812.0,636.0,1
39099,0.0,0.0,34.0,80.0,27.0,13277.0,4820.0,5205.0,7686.0,5873.0,5912.0,3108.0,1419.0,1
40002,0.0,0.0,37.0,83.0,57.0,2696.0,15413.0,28669.0,1261.0,4330.0,4692.0,3645.0,1934.0,1
40899,0.0,0.0,44.0,80.0,41.0,10132.0,10093.0,4822.0,6670.0,3039.0,6958.0,2565.0,1625.0,1
42103,0.0,0.0,48.0,69.0,35.0,8343.0,7603.0,418.0,2450.0,2053.0,3693.0,1082.0,1779.0,1
